
 Calculating Transition Dipole Moments

    A(vi)   A(vj)      |<vi|μ|vj>|^2
     9       1     0.00000000
     9       2     0.00960236
     9       3     0.00000000
     9       4     0.00818920
     9       5     0.00000000
     9       6     0.03206198
     9       7     0.00000000
     9       8     1.05017321
     9       9     0.00000000
     9      10    11.43368288
     9      11     0.00000000
     9      12     1.00916252
     9      13     0.00000000
     9      14     0.03170592
     9      15     0.00000000
     9      16     0.00240299
     9      17     0.00000000
     9      18     0.00001709
     9      19     0.00000000
     9      20     0.00017049
     9      21     0.00000000
     9      22     0.00030777
     9      23     0.00000000
     9      24     0.00027664
     9      25     0.00000000
     9      26     0.00020952
     9      27     0.00000000
     9      28     0.00016795
     9      29     0.00000000
     9      30     0.00014143
 ------------------------------
    10       0     0.00000000
    10       1     0.00159780
    10       2     0.00000000
    10       3     0.00026504
    10       4     0.00000000
    10       5     0.01118264
    10       6     0.00000000
    10       7     0.93006427
    10       8     0.00000000
    10       9    11.43368288
    10      10     0.00000000
    10      11     1.57060764
    10      12     0.00000000
    10      13     0.13225234
    10      14     0.00000000
    10      15     0.09790486
    10      16     0.00000000
    10      17     0.07345650
    10      18     0.00000000
    10      19     0.02886405
    10      20     0.00000000
    10      21     0.00681614
    10      22     0.00000000
    10      23     0.00121144
    10      24     0.00000000
    10      25     0.00015786
    10      26     0.00000000
    10      27     0.00001203
    10      28     0.00000000
    10      29     0.00000091
    10      30     0.00000000
 ------------------------------
    11       0     0.05322254
    11       1     0.00000000
    11       2     0.02333029
    11       3     0.00000000
    11       4     0.01666300
    11       5     0.00000000
    11       6     0.02010356
    11       7     0.00000000
    11       8     0.06545860
    11       9     0.00000000
    11      10     1.57060764
    11      11     0.00000000
    11      12    14.71181060
    11      13     0.00000000
    11      14     0.91455807
    11      15     0.00000000
    11      16     0.03687470
    11      17     0.00000000
    11      18     0.00400798
    11      19     0.00000000
    11      20     0.00033456
    11      21     0.00000000
    11      22     0.00000004
    11      23     0.00000000
    11      24     0.00004408
    11      25     0.00000000
    11      26     0.00008518
    11      27     0.00000000
    11      28     0.00011716
    11      29     0.00000000
    11      30     0.00014128
 ------------------------------
    12       0     0.00000000
    12       1     0.00123781
    12       2     0.00000000
    12       3     0.00101579
    12       4     0.00000000
    12       5     0.00007843
    12       6     0.00000000
    12       7     0.02176891
    12       8     0.00000000
    12       9     1.00916252
    12      10     0.00000000
    12      11    14.71181060
    12      12     0.00000000
    12      13     2.48550620
    12      14     0.00000000
    12      15     0.24850067
    12      16     0.00000000
    12      17     0.12526265
    12      18     0.00000000
    12      19     0.04906990
    12      20     0.00000000
    12      21     0.01345870
    12      22     0.00000000
    12      23     0.00322118
    12      24     0.00000000
    12      25     0.00074603
    12      26     0.00000000
    12      27     0.00018754
    12      28     0.00000000
    12      29     0.00007106
    12      30     0.00000000
 ------------------------------
    13       0     0.07202632
    13       1     0.00000000
    13       2     0.04243805
    13       3     0.00000000
    13       4     0.03525051
    13       5     0.00000000
    13       6     0.03500885
    13       7     0.00000000
    13       8     0.04838477
    13       9     0.00000000
    13      10     0.13225234
    13      11     0.00000000
    13      12     2.48550620
    13      13     0.00000000
    13      14    17.82210800
    13      15     0.00000000
    13      16     0.59338569
    13      17     0.00000000
    13      18     0.03088632
    13      19     0.00000000
    13      20     0.00461347
    13      21     0.00000000
    13      22     0.00085242
    13      23     0.00000000
    13      24     0.00014531
    13      25     0.00000000
    13      26     0.00000970
    13      27     0.00000000
    13      28     0.00000862
    13      29     0.00000000
    13      30     0.00005373
 ------------------------------
    14       0     0.00000000
    14       1     0.00105423
    14       2     0.00000000
    14       3     0.00133900
    14       4     0.00000000
    14       5     0.00041907
    14       6     0.00000000
    14       7     0.00094871
    14       8     0.00000000
    14       9     0.03170592
    14      10     0.00000000
    14      11     0.91455807
    14      12     0.00000000
    14      13    17.82210800
    14      14     0.00000000
    14      15     4.33709246
    14      16     0.00000000
    14      17     0.32963212
    14      18     0.00000000
    14      19     0.09126558
    14      20     0.00000000
    14      21     0.02419131
    14      22     0.00000000
    14      23     0.00637121
    14      24     0.00000000
    14      25     0.00179821
    14      26     0.00000000
    14      27     0.00059435
    14      28     0.00000000
    14      29     0.00027444
    14      30     0.00000000
 ------------------------------
    15       0     0.05342140
    15       1     0.00000000
    15       2     0.04390311
    15       3     0.00000000
    15       4     0.04638076
    15       5     0.00000000
    15       6     0.05197706
    15       7     0.00000000
    15       8     0.06423943
    15       9     0.00000000
    15      10     0.09790486
    15      11     0.00000000
    15      12     0.24850067
    15      13     0.00000000
    15      14     4.33709246
    15      15     0.00000000
    15      16    20.03833872
    15      17     0.00000000
    15      18     0.20905698
    15      19     0.00000000
    15      20     0.01283157
    15      21     0.00000000
    15      22     0.00242934
    15      23     0.00000000
    15      24     0.00068402
    15      25     0.00000000
    15      26     0.00020465
    15      27     0.00000000
    15      28     0.00003500
    15      29     0.00000000
    15      30     0.00000063
 ------------------------------
    16       0     0.00000000
    16       1     0.00088118
    16       2     0.00000000
    16       3     0.00139330
    16       4     0.00000000
    16       5     0.00104127
    16       6     0.00000000
    16       7     0.00007472
    16       8     0.00000000
    16       9     0.00240299
    16      10     0.00000000
    16      11     0.03687470
    16      12     0.00000000
    16      13     0.59338569
    16      14     0.00000000
    16      15    20.03833872
    16      16     0.00000000
    16      17     7.60157639
    16      18     0.00000000
    16      19     0.25670811
    16      20     0.00000000
    16      21     0.04575040
    16      22     0.00000000
    16      23     0.01103554
    16      24     0.00000000
    16      25     0.00322383
    16      26     0.00000000
    16      27     0.00116460
    16      28     0.00000000
    16      29     0.00058361
    16      30     0.00000000
 ------------------------------
    17       0     0.00809968
    17       1     0.00000000
    17       2     0.01471591
    17       3     0.00000000
    17       4     0.02374450
    17       5     0.00000000
    17       6     0.03483645
    17       7     0.00000000
    17       8     0.04967065
    17       9     0.00000000
    17      10     0.07345650
    17      11     0.00000000
    17      12     0.12526265
    17      13     0.00000000
    17      14     0.32963212
    17      15     0.00000000
    17      16     7.60157639
    17      17     0.00000000
    17      18    20.78566947
    17      19     0.00000000
    17      20     0.02560303
    17      21     0.00000000
    17      22     0.00083668
    17      23     0.00000000
    17      24     0.00013388
    17      25     0.00000000
    17      26     0.00004488
    17      27     0.00000000
    17      28     0.00000650
    17      29     0.00000000
    17      30     0.00000335
 ------------------------------
    18       0     0.00000000
    18       1     0.00057202
    18       2     0.00000000
    18       3     0.00110112
    18       4     0.00000000
    18       5     0.00119088
    18       6     0.00000000
    18       7     0.00059031
    18       8     0.00000000
    18       9     0.00001709
    18      10     0.00000000
    18      11     0.00400798
    18      12     0.00000000
    18      13     0.03088632
    18      14     0.00000000
    18      15     0.20905698
    18      16     0.00000000
    18      17    20.78566947
    18      18     0.00000000
    18      19    11.67396066
    18      20     0.00000000
    18      21     0.13502270
    18      22     0.00000000
    18      23     0.02062905
    18      24     0.00000000
    18      25     0.00529582
    18      26     0.00000000
    18      27     0.00188029
    18      28     0.00000000
    18      29     0.00094298
    18      30     0.00000000
 ------------------------------
    19       0     0.00131662
    19       1     0.00000000
    19       2     0.00028190
    19       3     0.00000000
    19       4     0.00303828
    19       5     0.00000000
    19       6     0.00834333
    19       7     0.00000000
    19       8     0.01652689
    19       9     0.00000000
    19      10     0.02886405
    19      11     0.00000000
    19      12     0.04906990
    19      13     0.00000000
    19      14     0.09126558
    19      15     0.00000000
    19      16     0.25670811
    19      17     0.00000000
    19      18    11.67396066
    19      19     0.00000000
    19      20    20.73485336
    19      21     0.00000000
    19      22     0.00002676
    19      23     0.00000000
    19      24     0.00067736
    19      25     0.00000000
    19      26     0.00034476
    19      27     0.00000000
    19      28     0.00019148
    19      29     0.00000000
    19      30     0.00017357
 ------------------------------
    20       0     0.00000000
    20       1     0.00025661
    20       2     0.00000000
    20       3     0.00062845
    20       4     0.00000000
    20       5     0.00088730
    20       6     0.00000000
    20       7     0.00074068
    20       8     0.00000000
    20       9     0.00017049
    20      10     0.00000000
    20      11     0.00033456
    20      12     0.00000000
    20      13     0.00461347
    20      14     0.00000000
    20      15     0.01283157
    20      16     0.00000000
    20      17     0.02560303
    20      18     0.00000000
    20      19    20.73485336
    20      20     0.00000000
    20      21    15.37072145
    20      22     0.00000000
    20      23     0.06425642
    20      24     0.00000000
    20      25     0.01022737
    20      26     0.00000000
    20      27     0.00310809
    20      28     0.00000000
    20      29     0.00147722
    20      30     0.00000000
 ------------------------------
    21       0     0.00541765
    21       1     0.00000000
    21       2     0.00091177
    21       3     0.00000000
    21       4     0.00000563
    21       5     0.00000000
    21       6     0.00059546
    21       7     0.00000000
    21       8     0.00274337
    21       9     0.00000000
    21      10     0.00681614
    21      11     0.00000000
    21      12     0.01345870
    21      13     0.00000000
    21      14     0.02419131
    21      15     0.00000000
    21      16     0.04575040
    21      17     0.00000000
    21      18     0.13502270
    21      19     0.00000000
    21      20    15.37072145
    21      21     0.00000000
    21      22    20.96423186
    21      23     0.00000000
    21      24     0.00457851
    21      25     0.00000000
    21      26     0.00217109
    21      27     0.00000000
    21      28     0.00112818
    21      29     0.00000000
    21      30     0.00069785
 ------------------------------
    22       0     0.00000000
    22       1     0.00007957
    22       2     0.00000000
    22       3     0.00027229
    22       4     0.00000000
    22       5     0.00049727
    22       6     0.00000000
    22       7     0.00056458
    22       8     0.00000000
    22       9     0.00030777
    22      10     0.00000000
    22      11     0.00000004
    22      12     0.00000000
    22      13     0.00085242
    22      14     0.00000000
    22      15     0.00242934
    22      16     0.00000000
    22      17     0.00083668
    22      18     0.00000000
    22      19     0.00002676
    22      20     0.00000000
    22      21    20.96423186
    22      22     0.00000000
    22      23    18.32715024
    22      24     0.00000000
    22      25     0.03377555
    22      26     0.00000000
    22      27     0.00620494
    22      28     0.00000000
    22      29     0.00248393
    22      30     0.00000000
 ------------------------------
    23       0     0.00412174
    23       1     0.00000000
    23       2     0.00134631
    23       3     0.00000000
    23       4     0.00040955
    23       5     0.00000000
    23       6     0.00001344
    23       7     0.00000000
    23       8     0.00021234
    23       9     0.00000000
    23      10     0.00121144
    23      11     0.00000000
    23      12     0.00322118
    23      13     0.00000000
    23      14     0.00637121
    23      15     0.00000000
    23      16     0.01103554
    23      17     0.00000000
    23      18     0.02062905
    23      19     0.00000000
    23      20     0.06425642
    23      21     0.00000000
    23      22    18.32715024
    23      23     0.00000000
