 point     x(Å)      W
           0   5.0006297919603480        4.9941282442598909E-121
           1   4.8616213777871593        1.9730195235183973E-113
           2   4.7471367077942048        2.4653426103608614E-107
           3   4.6454334443571828        4.7340081105257434E-102
           4   4.5520254737116863        2.5936668261701546E-097
           5   4.4646010769180400        5.6069447675958638E-093
           6   4.3817737451971146        5.8240937771370998E-089
           7   4.3026301220584751        3.3144783626994682E-085
           8   4.2265286547231353        1.1342570222436408E-081
           9   4.1529970914601106        2.5011096149426495E-078
          10   4.0816751397023845        3.7476379174492494E-075
          11   4.0122800448533802        3.9794814788875708E-072
          12   3.9445847623739021        3.0979908735544587E-069
          13   3.8784034929643880        1.8182439901095318E-066
          14   3.8135817444382329        8.2354102738644673E-064
          15   3.7499892942191719        2.9360923690156163E-061
          16   3.6875150763345457        8.3803809757287015E-059
          17   3.6260633837239933        1.9432660775003610E-056
          18   3.5655509928373768        3.7079038793854296E-054
          19   3.5059049495471442        5.8875467910574543E-052
          20   3.4470608386650174        7.8572573935603775E-050
          21   3.3889614133322943        8.8917221680511378E-048
          22   3.3315554964167502        8.6005009516159441E-046
          23   3.2747970904036476        7.1611639319679898E-044
          24   3.2186446491349412        5.1661373787992649E-042
          25   3.1630604766401826        3.2479669251544908E-040
          26   3.1080102268192920        1.7890987177634079E-038
          27   3.0534624839279396        8.6765699223357964E-037
          28   2.9993884083767259        3.7212625316225906E-035
          29   2.9457614357565318        1.4172340427766851E-033
          30   2.8925570195678918        4.8110787981191309E-032
          31   2.8397524100878142        1.4608586938295249E-030
          32   2.7873264633126826        3.9805330733973518E-029
          33   2.7352594750849808        9.7620761562972366E-028
          34   2.6835330364273187        2.1608244949042587E-026
          35   2.6321299068302326        4.3281046749583120E-025
          36   2.5810339028152445        7.8636681438024121E-024
          37   2.5302297995552019        1.2989130984240142E-022
          38   2.4797032437051643        1.9546850118180284E-021
          39   2.4294406758982370        2.6851626691585129E-020
          40   2.3794292616064152        3.3733593511587092E-019
          41   2.3296568292680093        3.8824303202657256E-018
          42   2.2801118147494250        4.1001349905288698E-017
          43   2.2307832113467385        3.9793051828221297E-016
