           0   12.299863959498769        2699451.1431911946     
           1   37.280625750712112        8181978.9335087873     
           2   62.437030827029183        13703055.155608095     
           3   86.553507031711973        18995898.188249826     
           4   110.98699581157960        24358315.970767375     
           5   135.45261823397450        29727786.123810384     
           6   159.92540249070382        35098828.084634766     
           7   184.42952408810274        40476747.651615910     
           9   233.41404612861825        51227380.703847848     
          10   257.90248213003849        56601857.753079548     
          11   282.40893635254463        61980289.261292972     
          12   306.90530032124252        67356506.261503100     
          13   331.39113238962204        72730411.825550348     
          14   355.89520527363447        78108320.701404557     
          15   380.39557940503772        83485417.812023625     
          16   404.88242266289058        88859545.301824600     
          17   429.38626707847823        94237404.035713613     
          18   453.88627824854677        99614421.487208560     
          19   478.37456826048287        104988866.49612817     
          20   502.87996571314159        110367066.07506318     
          21   527.37733564353016        115743503.85368556     
          22   551.86786255899108        121118439.79582177     
          23   576.37532927009659        126497093.51490809     
          24   600.86764029601215        131872421.01576579     
          25   625.36365125447924        137248560.54082057     
          26   649.86927890150253        142626810.64051276     
          27   674.35814051389525        148001381.09858459     
          28   698.86061769115099        153378939.76467690     
          29   723.36027880804363        158755880.39000133     
          30   747.85054622966982        164130759.38102564     
          31   772.35792780549139        169509394.41547120     
          32   796.84993519098020        174884655.27636442     
          33   821.35047050105436        180261787.76086640     
          34   845.85462365746548        185639714.25410396     
          35   870.35028407386403        191015776.84569094     
          36   894.85690116995386        196394244.09976977     
          37   919.36370773543695        201772752.93669635     
          38   943.86017443858702        207148992.48403668     
          39   968.38388627382267        212531211.52051586     
          40   992.87381140463901        217906015.38897613     
          41   1017.4021747338089        223289255.28882906     
          42   1041.8991165656112        228665599.11265469     
          43   1066.4182798177155        234046819.87159404     
          44   1090.9269065427397        239425728.17893508     
          45   1115.4365906258270        244804868.54465026     
          46   1139.9482893345755        250184451.06025928     
          47   1164.4572271384254        255563427.64007023     
          48   1188.9664789937633        260942473.14476123     
          49   1213.4773610868274        266321876.43772602     
